census_tract,children_with_bll_gte_5_micrograms_per_deciliter,children_lt_6_screened,percent_children_with_bll_gte_micrograms_per_deciliter
42101000100,0,100,0.0
42101000200,,109,
42101000300,,110,
42101000401,,61,
42101000402,0,41,0.0
42101000500,,49,
42101000600,0,24,0.0
42101000700,0,57,0.0
42101000801,,57,
42101000803,0,63,0.0
42101000804,0,86,0.0
42101000901,0,21,0.0
42101000902,,62,
42101001001,0,68,0.0
42101001002,0,82,0.0
42101001101,,91,
42101001102,,79,
42101001201,,137,
42101001202,,141,
42101001300,,435,
42101001400,,237,
42101001500,,138,
42101001600,0,107,0.0
42101001700,,127,
42101001800,,154,
42101001900,6,195,3.1
42101002000,8,105,7.6
42101002100,,128,
42101002200,7,121,5.8
42101002300,,156,
42101002400,6,301,2.0
42101002500,,258,
42101002701,12,275,4.4
42101002702,,143,
42101002801,12,362,3.3
42101002802,,306,
42101002900,,198,
42101003001,14,260,5.4
42101003002,17,192,8.9
42101003100,14,326,4.3
42101003200,19,374,5.1
42101003300,20,485,4.1
42101003600,14,472,3.0
42101003701,16,444,3.6
42101003702,12,277,4.3
42101003800,,162,
42101003901,8,293,2.7
42101003902,,193,
42101004001,6,189,3.2
42101004002,,209,
42101004101,26,562,4.6
42101004102,45,674,6.7
42101004201,7,215,3.3
42101004202,,221,
42101005000,,,
42101005400,0,43,0.0
42101005500,0,254,0.0
42101005600,,114,
42101006000,22,452,4.9
42101006100,7,244,2.9
42101006200,25,390,6.4
42101006300,20,365,5.5
42101006400,23,404,5.7
42101006500,23,350,6.6
42101006600,20,315,6.3
42101006700,26,617,4.2
42101006900,14,231,6.1
42101007000,24,273,8.8
42101007101,18,202,8.9
42101007102,31,345,9.0
42101007200,38,349,10.9
42101007300,17,220,7.7
42101007400,33,285,11.6
42101007700,,67,
42101007800,11,157,7.0
42101007900,17,242,7.0
42101008000,16,246,6.5
42101008101,13,213,6.1
42101008102,31,362,8.6
42101008200,38,454,8.4
42101008301,15,212,7.1
42101008302,22,339,6.5
42101008400,29,308,9.4
42101008500,30,492,6.1
42101008601,7,182,3.8
42101008602,,181,
42101008701,12,192,6.3
42101008702,,87,
42101008801,,,
42101008802,,46,
42101009000,0,25,0.0
42101009100,,101,
42101009200,9,223,4.0
42101009300,19,315,6.0
42101009400,14,306,4.6
42101009500,11,253,4.3
42101009600,14,314,4.5
42101009801,0,96,0.0
42101009802,,259,
42101010000,12,246,4.9
42101010100,15,319,4.7
42101010200,17,235,7.2
42101010300,10,192,5.2
42101010400,16,314,5.1
42101010500,8,208,3.8
42101010600,6,108,5.6
42101010700,11,293,3.8
42101010800,25,287,8.7
42101010900,,147,
42101011000,20,286,7.0
42101011100,24,281,8.5
42101011200,20,391,5.1
42101011300,6,140,4.3
42101011400,30,353,8.5
42101011500,18,217,8.3
42101011700,,20,0.0
42101011800,13,237,5.5
42101011900,19,283,6.7
42101012000,,34,
42101012100,,104,
42101012201,0,62,0.0
42101012203,0,48,0.0
42101012204,,121,
42101012500,0,150,0.0
42101013100,,102,
42101013200,,205,
42101013300,8,129,6.2
42101013401,,52,
42101013402,,98,
42101013500,8,198,4.0
42101013601,,153,
42101013602,,216,
42101013700,22,333,6.6
42101013800,17,157,10.8
42101013900,14,264,5.3
42101014000,7,140,5.0
42101014100,,125,
42101014200,6,159,3.8
42101014300,,73,
42101014400,13,204,6.4
42101014500,,111,
42101014600,,92,
42101014700,8,139,5.8
42101014800,6,64,9.4
42101014900,43,332,13.0
42101015101,22,161,13.7
42101015102,36,386,9.3
42101015200,35,665,5.3
42101015300,8,146,5.5
42101015600,,123,
42101015700,10,159,6.3
42101015800,10,262,3.8
42101016000,13,343,3.8
42101016100,18,381,4.7
42101016200,11,177,6.2
42101016300,19,309,6.1
42101016400,35,417,8.4
42101016500,29,315,9.2
42101016600,16,102,15.7
42101016701,38,289,13.1
42101016702,21,213,9.9
42101016800,34,291,11.7
42101016901,46,286,16.1
42101016902,59,429,13.8
42101017000,12,142,8.5
42101017100,31,266,11.7
42101017201,29,227,12.8
42101017202,36,298,12.1
42101017300,32,262,12.2
42101017400,27,239,11.3
42101017500,41,685,6.0
42101017601,30,566,5.3
42101017602,30,390,7.7
42101017701,44,425,10.4
42101017702,41,534,7.7
42101017800,49,636,7.7
42101017900,46,597,7.7
42101018001,6,121,5.0
42101018002,8,276,2.9
42101018300,,89,
42101018400,,80,
42101018800,66,742,8.9
42101019000,33,622,5.3
42101019100,7,571,1.2
42101019200,63,846,7.4
42101019501,28,486,5.8
42101019502,24,348,6.9
42101019700,56,642,8.7
42101019800,49,549,8.9
42101019900,40,430,9.3
42101020000,19,108,17.6
42101020101,36,282,12.8
42101020102,28,246,11.4
42101020200,52,393,13.2
42101020300,34,219,15.5
42101020400,39,238,16.4
42101020500,16,173,9.2
42101020600,,59,
42101020700,,318,
42101020800,,49,0.0
42101020900,10,113,8.8
42101021000,,176,
42101021100,,124,
42101021200,,121,0.0
42101021300,9,150,6.0
42101021400,,99,
42101021500,,171,
42101021600,,96,
42101021700,,270,
42101021800,,166,
42101021900,,47,
42101022000,0,38,0.0
42101023100,0,56,0.0
42101023500,,30,
42101023600,7,90,7.8
42101023700,18,185,9.7
42101023800,26,198,13.1
42101023900,,49,
42101024000,12,157,7.6
42101024100,,39,
42101024200,42,333,12.6
42101024300,22,256,8.6
42101024400,26,231,11.3
42101024500,44,342,12.9
42101024600,22,199,11.1
42101024700,40,314,12.7
42101024800,8,126,6.3
42101024900,13,227,5.7
42101025200,45,425,10.6
42101025300,26,280,9.3
42101025400,,166,
42101025500,7,103,6.8
42101025600,,94,
42101025700,,124,
42101025800,0,45,0.0
42101025900,,181,
42101026000,,103,
42101026100,,92,
42101026200,,130,
42101026301,6,167,3.6
42101026302,12,228,5.3
42101026400,7,203,3.4
42101026500,22,227,9.7
42101026600,10,264,3.8
42101026700,26,313,8.3
42101026800,16,221,7.2
42101026900,,69,
42101027000,,88,
42101027100,,97,
42101027200,8,197,4.1
42101027300,20,383,5.2
42101027401,11,187,5.9
42101027402,32,433,7.4
42101027500,23,257,8.9
42101027600,16,217,7.4
42101027700,22,265,8.3
42101027800,17,229,7.4
42101027901,18,222,8.1
42101027902,,89,
42101028000,24,255,9.4
42101028100,24,235,10.2
42101028200,29,285,10.2
42101028300,81,486,16.7
42101028400,41,343,12.0
42101028500,12,166,7.2
42101028600,53,532,10.0
42101028700,8,197,4.1
42101028800,24,370,6.5
42101028901,11,315,3.5
42101028902,30,541,5.5
42101029000,26,431,6.0
42101029100,13,309,4.2
42101029200,19,260,7.3
42101029300,20,237,8.4
42101029400,27,265,10.2
42101029800,17,309,5.5
42101029900,22,382,5.8
42101030000,65,587,11.1
42101030100,29,381,7.6
42101030200,30,492,6.1
42101030501,7,330,2.1
42101030502,7,289,2.4
42101030600,10,308,3.2
42101030700,,148,
42101030800,9,190,4.7
42101030900,8,260,3.1
42101031000,,329,
42101031101,10,313,3.2
42101031102,9,267,3.4
42101031200,13,286,4.5
42101031300,16,493,3.2
42101031401,18,453,4.0
42101031402,8,320,2.5
42101031501,6,268,2.2
42101031502,,178,
42101031600,6,260,2.3
42101031700,7,361,1.9
42101031800,6,225,2.7
42101031900,6,292,2.1
42101032000,7,342,2.0
42101032100,,207,
42101032300,8,227,3.5
42101032500,8,276,2.9
42101032600,9,321,2.8
42101032900,8,205,3.9
42101033000,9,413,2.2
42101033101,,179,
42101033102,,159,
42101033200,0,87,0.0
42101033300,,103,
42101033400,6,184,3.3
42101033500,,163,
42101033600,7,309,2.3
42101033701,,220,
42101033702,,185,
42101033800,,214,
42101033900,,101,
42101034000,,77,
42101034100,,146,
42101034200,0,71,0.0
42101034400,,159,
42101034501,,132,
42101034502,,258,
42101034600,0,88,0.0
42101034701,0,207,0.0
42101034702,,82,
42101034801,,108,
42101034802,,198,
42101034803,,146,
42101034900,,275,
42101035100,0,50,0.0
42101035200,,88,
42101035301,0,97,0.0
42101035302,,113,
42101035500,,211,
42101035601,0,98,0.0
42101035602,0,79,0.0
42101035701,,181,
42101035702,,155,
42101035800,0,122,0.0
42101035900,,121,
42101036000,,66,
42101036100,,105,
42101036201,0,111,0.0
42101036202,,133,
42101036203,,114,
42101036301,0,92,0.0
42101036302,,101,
42101036303,0,115,0.0
42101036400,0,6,0.0
42101036501,,120,
42101036502,,81,
42101036600,0,80,0.0
42101036700,,125,
42101036900,0,33,0.0
42101037200,,174,
42101037300,,143,
42101037500,9,98,9.2
42101037600,,153,
42101037700,13,249,5.2
42101037800,6,114,5.3
42101037900,,244,
42101038000,11,112,9.8
42101038100,,57,
42101038200,17,211,8.1
42101038300,15,262,5.7
42101038400,,82,
42101038500,,42,
42101038600,,34,
42101038700,,81,
42101038800,11,214,5.1
42101038900,9,158,5.7
42101039000,26,537,4.8
42101980000,0,7,0.0
42101980100,,,
42101980200,,,
42101980700,,,
42101980800,,,
42101980900,,,
42101989100,,,